"","Term","Slope Estimate","Robust se","Robust t-statistic","Robust p-value","p-value"
"1","(Intercept)",0.31194392543363,0.950646937628506,0.328138568680196,0.74313856716207,0.754532486546563
"2","female_edu",0.583089863965396,0.301651341796814,1.93299277401575,0.00546013625824481,0.00608813817788214
"3","mean_age",0.0597908085398114,0.0950033875869905,0.629354489965567,0.52981097123768,0.549441919711177
"4","age_squared",-0.00142349583521936,0.00223317740893272,-0.63743069830698,0.524548742057226,0.547253120946461
"5","median_educationclass I",-0.223983980465109,0.138198165239172,-1.62074496486601,0.106594638350498,0.304941386908752
"6","median_educationClass II",-0.425707349528081,0.158835492616955,-2.68017772674216,7.95074003548132e-06,6.78959773971053e-05
"7","median_educationClass III",-0.54704365034588,0.183468180960916,-2.98168133286511,3.21037534024535e-06,2.88942943491997e-05
"8","median_educationClass IV",-0.504244881201242,0.185442604899528,-2.71914256960767,7.10086148026672e-06,4.65309755403302e-05
"9","median_educationClass V",-0.546216181929512,0.194947873088371,-2.80185761083891,5.56301008495406e-06,3.68307445046921e-05
"10","median_educationClass VI",-0.691290355815218,0.224894485790181,-3.07384306638878,2.39776706849138e-06,1.799793113861e-05
"11","median_educationClass VII",-0.793231880883061,0.26196529039372,-3.02800374695012,2.77471989525312e-06,1.5191488615779e-05
"12","median_distance15-29min",-0.0634392969116905,0.052544104059726,-1.20735329009664,0.22867387171081,0.238414888883965
"13","median_distance30-44min",0.0669997091720195,0.0721553560019823,0.928547967668247,0.354204876697783,0.421688985726168
"14","median_distance45-59min",0.0327917327353794,0.0560629417991692,0.584909240989301,0.559245753283252,0.87172099543159
"15","median_distance60+min",-0.146767603541345,0.170948416965718,-0.858549064954359,0.391582402549057,0.320678570842129
"16","mean_income_district",-1.28257121443531e-06,1.42223464737003e-06,-0.901800006635348,0.368211198961837,0.34797035665656
"17","bhu_visitation_proportion",0.0442628001816731,0.0673267281655373,0.657432811421394,0.511633014745696,0.525713351569782
