"","Term","Slope Estimate","t-statistic","se","p-value","Robust se","Robust t-statistic","Robust p-value","t-test"
"1","(Intercept)",315.013457730626,0.874056463968595,360.404013603799,0.383076552619311,233.1764426832,1.35096605002509,0.178146385316225,"Not rejected"
"2","household_samplesize",0.597049458274228,11.196617508432,0.0533240916575561,3.65558819948211e-23,0.164707799843729,3.62490093875757,0.000361979448353941,"Rejected"
"3","female_edu",0.788573307325836,3.33599713477195,0.236383088914057,0.001003462013453,0.313732901177339,2.51351804151421,0.0126970685472034,"Rejected"
"4","mean_age",-21.3880676813852,-0.644888847148635,33.1655102673154,0.519696457790689,19.8389474493387,-1.07808479940795,0.282221059762847,"Not rejected"
"5","age_squared",0.442802605561499,0.565796802974576,0.7826177228884,0.572130285957089,0.444427416655261,0.996344034969782,0.320218867198641,"Not rejected"
"6","overall_education",-0.435657034908432,-3.78686891850624,0.115044128614909,0.000198664754574283,0.179933452099379,-2.42121200824744,0.0163104981604907,"Rejected"
"7","median_distance15-29min",-9.55415242094269,-0.416362871202753,22.9466964557706,0.677565709840698,15.9159550292511,-0.600287724072078,0.54895564038135,"Not rejected"
"8","median_distance30-44min",53.4508119386083,1.57270639599535,33.9865165390771,0.117278021713621,32.8061968292687,1.62929010688984,0.104736596098765,"Not rejected"
"9","median_distance45-59min",70.040861499808,0.834806284522446,83.9007357735396,0.404766530214466,75.9695351627146,0.921959853377959,0.357597536340901,"Not rejected"
"10","median_distance60+min",43.1749418782455,0.740115749644783,58.3353913208404,0.46004859987725,58.8106409533279,0.734134863663689,0.463677712975118,"Not rejected"
"11","mean_income_district",-0.000623502353291196,-1.23171422305083,0.000506206993166682,0.219420340498675,0.000597554495110249,-1.04342341726701,0.297940586484684,"Not rejected"
"12","bhu_visitation_proportion",29.0240110330665,1.05038587003257,27.6317607282421,0.294736617993387,18.3095407598345,1.58518509086455,0.114414781419168,"Not rejected"
